OTUId,kingdom,phylum,class,order,family,genus
OTU0009,Unmapped,NA,NA,NA,NA,NA
OTU0013,Unmapped,NA,NA,NA,NA,NA
OTU0059,Unmapped,NA,NA,NA,NA,NA
OTU0065,Unmapped,NA,NA,NA,NA,NA
OTU0069,Unmapped,NA,NA,NA,NA,NA
OTU0093,Unmapped,NA,NA,NA,NA,NA
OTU0094,Unmapped,NA,NA,NA,NA,NA
OTU0118,Unmapped,NA,NA,NA,NA,NA
OTU0120,Unmapped,NA,NA,NA,NA,NA
OTU0121,Unmapped,NA,NA,NA,NA,NA
OTU0139,Unmapped,NA,NA,NA,NA,NA
OTU0142,Unmapped,NA,NA,NA,NA,NA
OTU0156,Unmapped,NA,NA,NA,NA,NA
OTU0161,Unmapped,NA,NA,NA,NA,NA
OTU0178,Unmapped,NA,NA,NA,NA,NA
OTU0194,Unmapped,NA,NA,NA,NA,NA
OTU0218,Unmapped,NA,NA,NA,NA,NA
OTU0253,Unmapped,NA,NA,NA,NA,NA
OTU0346,Unmapped,NA,NA,NA,NA,NA
OTU0356,Unmapped,NA,NA,NA,NA,NA
OTU0358,Unmapped,NA,NA,NA,NA,NA
OTU0361,Unmapped,NA,NA,NA,NA,NA
OTU0362,Unmapped,NA,NA,NA,NA,NA
OTU0363,Unmapped,NA,NA,NA,NA,NA
OTU0401,Unmapped,NA,NA,NA,NA,NA
OTU0408,Unmapped,NA,NA,NA,NA,NA
OTU0411,Unmapped,NA,NA,NA,NA,NA
OTU0421,Unmapped,NA,NA,NA,NA,NA
OTU0439,Unmapped,NA,NA,NA,NA,NA
OTU0443,Unmapped,NA,NA,NA,NA,NA
OTU0446,Unmapped,NA,NA,NA,NA,NA
